Jan  1 00:00:01 syslogd started: BusyBox v1.27.2
Jan  1 00:00:01 kernel: klogd started: BusyBox v1.27.2 (2021-06-26 00:12:45 UTC)
Jan  1 00:00:01 kernel: [    0.000000] Booting Linux on physical CPU 0x0000000003 [0x410fd034]
Jan  1 00:00:01 kernel: [    0.000000] Linux version 4.19.124 (ubuntu@3356ed46b928) (gcc version 7.5.0 (Linaro GCC 7.5-2019.12)) #1 SMP PREEMPT Sat Jun 26 00:22:55 UTC 2021
Jan  1 00:00:01 kernel: [    0.000000] Machine model: Socionext KARINE EVB
Jan  1 00:00:01 kernel: [    0.000000] cma: Reserved 16 MiB at 0x0000000057000000
Jan  1 00:00:01 kernel: [    0.000000] On node 0 totalpages: 32768
Jan  1 00:00:01 kernel: [    0.000000]   DMA32 zone: 448 pages used for memmap
Jan  1 00:00:01 kernel: [    0.000000]   DMA32 zone: 0 pages reserved
Jan  1 00:00:01 kernel: [    0.000000]   DMA32 zone: 32768 pages, LIFO batch:7
Jan  1 00:00:01 kernel: [    0.000000] psci: probing for conduit method from DT.
Jan  1 00:00:01 kernel: [    0.000000] psci: PSCIv1.0 detected in firmware.
Jan  1 00:00:01 kernel: [    0.000000] psci: Using standard PSCI v0.2 function IDs
Jan  1 00:00:01 kernel: [    0.000000] psci: MIGRATE_INFO_TYPE not supported.
Jan  1 00:00:01 kernel: [    0.000000] psci: SMC Calling Convention v1.0
Jan  1 00:00:01 kernel: [    0.000000] random: get_random_bytes called from start_kernel+0xa4/0x4e8 with crng_init=0
Jan  1 00:00:01 kernel: [    0.000000] percpu: Embedded 22 pages/cpu s53208 r8192 d28712 u90112
Jan  1 00:00:01 kernel: [    0.000000] pcpu-alloc: s53208 r8192 d28712 u90112 alloc=22*4096
Jan  1 00:00:01 kernel: [    0.000000] pcpu-alloc: [0] 0 [0] 1 [0] 2 [0] 3 
Jan  1 00:00:01 kernel: [    0.000000] Detected VIPT I-cache on CPU0
Jan  1 00:00:01 kernel: [    0.000000] Built 1 zonelists, mobility grouping on.  Total pages: 32320
Jan  1 00:00:01 kernel: [    0.000000] Kernel command line: consoleblank=0 init=/sbin/finit root=/dev/ipcublk rootwait ro console=ttyUSI3,115200n8 nr_cpus=4 maxcpus=1
Jan  1 00:00:01 kernel: [    0.000000] Dentry cache hash table entries: 16384 (order: 5, 131072 bytes)
Jan  1 00:00:01 kernel: [    0.000000] Inode-cache hash table entries: 8192 (order: 4, 65536 bytes)
Jan  1 00:00:01 kernel: [    0.000000] Memory: 85340K/131072K available (7294K kernel code, 914K rwdata, 3272K rodata, 1984K init, 626K bss, 29348K reserved, 16384K cma-reserved)
Jan  1 00:00:01 kernel: [    0.000000] rcu: Preemptible hierarchical RCU implementation.
Jan  1 00:00:01 kernel: [    0.000000] rcu: 	RCU restricting CPUs from NR_CPUS=64 to nr_cpu_ids=4.
Jan  1 00:00:01 kernel: [    0.000000] 	Tasks RCU enabled.
Jan  1 00:00:01 kernel: [    0.000000] rcu: Adjusting geometry for rcu_fanout_leaf=16, nr_cpu_ids=4
Jan  1 00:00:01 kernel: [    0.000000] NR_IRQS: 64, nr_irqs: 64, preallocated irqs: 0
Jan  1 00:00:01 kernel: [    0.000000] GICv3: GIC: Using split EOI/Deactivate mode
Jan  1 00:00:01 kernel: [    0.000000] GICv3: Distributor has no Range Selector support
Jan  1 00:00:01 kernel: [    0.000000] GICv3: no VLPI support, no direct LPI support
Jan  1 00:00:01 kernel: [    0.000000] GICv3: CPU0: found redistributor 3 region 0:0x000000000d0e0000
Jan  1 00:00:01 kernel: [    0.000000] rcu: 	Offload RCU callbacks from CPUs: (none).
Jan  1 00:00:01 kernel: [    0.000000] arch_timer: cp15 timer(s) running at 24.00MHz (phys).
Jan  1 00:00:01 kernel: [    0.000000] clocksource: arch_sys_counter: mask: 0xffffffffffffff max_cycles: 0x588fe9dc0, max_idle_ns: 440795202592 ns
Jan  1 00:00:01 kernel: [    0.000007] sched_clock: 56 bits at 24MHz, resolution 41ns, wraps every 4398046511097ns
Jan  1 00:00:01 kernel: [    0.000086] clocksource: mlb-clksrc: mask: 0xffffffff max_cycles: 0xffffffff, max_idle_ns: 70787423951 ns
Jan  1 00:00:01 kernel: [    0.000097] sched_clock: 32 bits at 27MHz, resolution 37ns, wraps every 79536431085ns
Jan  1 00:00:01 kernel: [    0.000568] Console: colour dummy device 80x25
Jan  1 00:00:01 kernel: [    0.000607] Calibrating delay loop (skipped), value calculated using timer frequency.. 48.00 BogoMIPS (lpj=96000)
Jan  1 00:00:01 kernel: [    0.000620] pid_max: default: 32768 minimum: 301
Jan  1 00:00:01 kernel: [    0.000768] Security Framework initialized
Jan  1 00:00:01 kernel: [    0.000832] Mount-cache hash table entries: 512 (order: 0, 4096 bytes)
Jan  1 00:00:01 kernel: [    0.000842] Mountpoint-cache hash table entries: 512 (order: 0, 4096 bytes)
Jan  1 00:00:01 kernel: [    0.024134] ASID allocator initialised with 32768 entries
Jan  1 00:00:01 kernel: [    0.032091] rcu: Hierarchical SRCU implementation.
Jan  1 00:00:01 kernel: [    0.048132] smp: Bringing up secondary CPUs ...
Jan  1 00:00:01 kernel: [    0.048146] smp: Brought up 1 node, 1 CPU
Jan  1 00:00:01 kernel: [    0.048153] SMP: Total of 1 processors activated.
Jan  1 00:00:01 kernel: [    0.048169] CPU features: detected: GIC system register CPU interface
Jan  1 00:00:01 kernel: [    0.048180] CPU features: detected: 32-bit EL0 Support
Jan  1 00:00:01 kernel: [    0.048225] CPU: All CPU(s) started at EL2
Jan  1 00:00:01 kernel: [    0.048241] alternatives: patching kernel code
Jan  1 00:00:01 kernel: [    0.049134] devtmpfs: initialized
Jan  1 00:00:01 kernel: [    0.056557] clocksource: jiffies: mask: 0xffffffff max_cycles: 0xffffffff, max_idle_ns: 7645041785100000 ns
Jan  1 00:00:01 kernel: [    0.056578] futex hash table entries: 1024 (order: 4, 65536 bytes)
Jan  1 00:00:01 kernel: [    0.057311] pinctrl core: initialized pinctrl subsystem
Jan  1 00:00:01 kernel: [    0.057643] regulator-dummy: no parameters
Jan  1 00:00:01 kernel: [    0.058112] NET: Registered protocol family 16
Jan  1 00:00:01 kernel: [    0.060212] cpuidle: using governor ladder
Jan  1 00:00:01 kernel: [    0.060379] hw-breakpoint: found 6 breakpoint and 4 watchpoint registers.
Jan  1 00:00:01 kernel: [    0.061366] DMA: preallocated 256 KiB pool for atomic allocations
Jan  1 00:00:01 kernel: [    0.084725] SCSI subsystem initialized
Jan  1 00:00:01 kernel: [    0.084902] usbcore: registered new interface driver usbfs
Jan  1 00:00:01 kernel: [    0.084947] usbcore: registered new interface driver hub
Jan  1 00:00:01 kernel: [    0.084989] usbcore: registered new device driver usb
Jan  1 00:00:01 kernel: [    0.085065] media: Linux media interface: v0.10
Jan  1 00:00:01 kernel: [    0.085101] videodev: Linux video capture interface: v2.00
Jan  1 00:00:01 kernel: [    0.085136] pps_core: LinuxPPS API ver. 1 registered
Jan  1 00:00:01 kernel: [    0.085144] pps_core: Software ver. 5.3.6 - Copyright 2005-2007 Rodolfo Giometti <giometti@linux.it>
Jan  1 00:00:01 kernel: [    0.085162] PTP clock support registered
Jan  1 00:00:01 kernel: [    0.086256] clocksource: Switched to clocksource arch_sys_counter
Jan  1 00:00:01 kernel: [    0.139460] VFS: Disk quotas dquot_6.6.0
Jan  1 00:00:01 kernel: [    0.139563] VFS: Dquot-cache hash table entries: 512 (order 0, 4096 bytes)
Jan  1 00:00:01 kernel: [    0.139769] FS-Cache: Loaded
Jan  1 00:00:01 kernel: [    0.146133] NET: Registered protocol family 2
Jan  1 00:00:01 kernel: [    0.146919] tcp_listen_portaddr_hash hash table entries: 256 (order: 0, 4096 bytes)
Jan  1 00:00:01 kernel: [    0.146939] TCP established hash table entries: 1024 (order: 1, 8192 bytes)
Jan  1 00:00:01 kernel: [    0.146963] TCP bind hash table entries: 1024 (order: 2, 16384 bytes)
Jan  1 00:00:01 kernel: [    0.146991] TCP: Hash tables configured (established 1024 bind 1024)
Jan  1 00:00:01 kernel: [    0.147102] UDP hash table entries: 256 (order: 1, 8192 bytes)
Jan  1 00:00:01 kernel: [    0.147131] UDP-Lite hash table entries: 256 (order: 1, 8192 bytes)
Jan  1 00:00:01 kernel: [    0.147300] NET: Registered protocol family 1
Jan  1 00:00:01 kernel: [    0.151769] PCI: CLS 0 bytes, default 64
