[01483946][I] gp_test   cmd: t appc settings dump
[01483946][I] settings  [T:   12] settings_dump:12319 [USRV] = 20220603
[01483946][I] settings  [T:   12] settings_dump:12319 [VDSM] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [VLST] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [vres] = 18
[01483946][I] settings  [T:   12] settings_dump:12319 [Vfps] = 5
[01483946][I] settings  [T:   12] settings_dump:12319 [VFOv] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [VPIV] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [VLPG] = 1
[01483946][I] settings  [T:   12] settings_dump:12319 [VSPM] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [VLLt] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [VBSt] = 1
[01483946][I] settings  [T:   12] settings_dump:12319 [VTRT] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [VPRo] = 1
[01483946][I] settings  [T:   12] settings_dump:12319 [VPCo] = 2
[01483946][I] settings  [T:   12] settings_dump:12319 [VPSh] = 1
[01483946][I] settings  [T:   12] settings_dump:12319 [VPis] = 1
[01483946][I] settings  [T:   12] settings_dump:12319 [PZSL] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [VPev] = 4
[01483946][I] settings  [T:   12] settings_dump:12319 [VPWB] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [VTrs] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [VTFS] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [VTFV] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [VPRS] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [VPFS] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [VPFV] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [VPSM] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [VPLl] = 1
[01483946][I] settings  [T:   12] settings_dump:12319 [VLRs] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [VLFS] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [VLFV] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [VLSM] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [VLLl] = 1
[01483946][I] settings  [T:   12] settings_dump:12319 [VEXT] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [PDSM] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [PLSM] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [PSRS] = 1f
[01483946][I] settings  [T:   12] settings_dump:12319 [PCRT] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PSHd] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PSSM] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [PSPR] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [PEXT] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PSRA] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [PSPc] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PSPs] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PSpi] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PSIM] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PSev] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PSWB] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PCRS] = 1f
[01483946][I] settings  [T:   12] settings_dump:12319 [PCSM] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [PCPR] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [PCPc] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PCPs] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PCpi] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PCIM] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PCev] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PCWB] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PNRS] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PNSM] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [PNPR] = 0
[01483946][I] settings  [T:   12] settings_dump:12319 [PNPc] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PNPs] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PNPI] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PNIM] = ffffffff
[01483946][I] settings  [T:   12] settings_dump:12319 [PNev] = ffffffff
